,time,open,highest,lowest,close,volume,amount
214,1518948900000,10289.03,10289.03,10269.29,10270.74,998.0,9.710859539630999
215,1518948960000,10270.24,10286.75,10255.02,10256.74,834.0,8.118364634137
216,1518949020000,10256.74,10296.7,10256.74,10282.1,1424.0,13.851336955901001
217,1518949080000,10300.0,10337.64,10300.0,10332.5,190.0,1.840824253264
218,1518949140000,10337.64,10355.97,10288.02,10350.18,1104.0,10.673742074437
219,1518949200000,10351.65,10359.46,10331.63,10332.4,594.0,5.744483214354
220,1518949260000,10330.61,10354.34,10314.74,10338.69,3436.0,33.203410017441
221,1518949320000,10337.15,10347.37,10321.74,10328.53,2770.0,26.787171152979003
222,1518949380000,10328.38,10351.97,10325.0,10344.59,688.0,6.648868354966
223,1518949440000,10338.51,10339.67,10338.51,10339.67,8.0,0.077378419342
224,1518949500000,10344.85,10356.17,10344.85,10356.17,494.0,4.7722692693379996
225,1518949560000,10356.17,10356.17,10343.82,10349.39,294.0,2.8412053559039996
226,1518949620000,10349.3,10368.01,10341.74,10362.77,1176.0,11.346320640964999
227,1518949680000,10361.33,10363.33,10342.83,10356.18,1896.0,18.305067473473
228,1518949740000,10359.14,10372.07,10354.65,10372.07,346.0,3.3371124342110003
229,1518949800000,10366.14,10386.42,10347.16,10369.43,794.0,7.655509715847
230,1518949860000,10372.99,10376.02,10346.68,10358.31,326.0,3.144760617921
231,1518949920000,10360.65,10377.16,10335.0,10351.61,2164.0,20.887847574639
232,1518949980000,10363.8,10363.8,10303.23,10334.9,336.0,3.252043889832
233,1518950040000,10346.8,10346.8,10330.49,10330.49,58.0,0.561325459916
234,1518950100000,10329.94,10329.94,10299.11,10299.61,238.0,2.307531252105
235,1518950160000,10299.61,10323.47,10299.61,10323.47,1156.0,11.221769111761
236,1518950220000,10344.01,10345.81,10320.7,10330.09,346.0,3.346503275531
237,1518950280000,10330.09,10332.67,10326.06,10330.29,350.0,3.3882199869300003
238,1518950340000,10323.73,10323.73,10307.17,10308.14,100.0,0.9694345606020001
239,1518950400000,10318.33,10319.42,10317.0,10317.0,1400.0,13.566677832328
240,1518950460000,10331.08,10374.66,10328.59,10347.86,672.0,6.494390688864
241,1518950520000,10350.36,10383.84,10350.36,10372.53,254.0,2.449920926824
242,1518950580000,10362.92,10370.03,10348.53,10364.4,480.0,4.63559716426
243,1518950640000,10364.4,10370.77,10353.08,10368.53,558.0,5.382839560585
244,1518950700000,10368.78,10384.12,10368.78,10377.4,312.0,3.0081127020569998
245,1518950760000,10382.75,10393.93,10347.8,10393.93,1164.0,11.21123716086
246,1518950880000,10390.0,10390.0,10390.0,10390.0,0.0,0.0
247,1518950820000,10414.65,10414.65,10391.23,10391.76,48.0,0.46179418249
248,1518950940000,10410.61,10436.35,10401.15,10414.78,374.0,3.589265390793
249,1518951000000,10416.85,10422.1,10400.93,10405.25,1934.0,18.560868631092998
250,1518951060000,10406.21,10430.0,10383.36,10430.0,1158.0,11.122430237717
251,1518951120000,10430.0,10432.77,10430.0,10430.0,2110.0,20.229657399644
252,1518951180000,10430.0,10463.61,10430.0,10463.55,1364.0,13.069638761433001
253,1518951240000,10463.0,10469.14,10413.05,10419.58,2042.0,19.528317783918
254,1518951300000,10424.31,10467.14,10419.45,10467.14,726.0,6.952501149239999
255,1518951360000,10467.14,10471.44,10449.05,10467.89,2434.0,23.26274032725
256,1518951420000,10453.0,10482.03,10430.38,10480.0,694.0,6.633881102954001
257,1518951480000,10463.11,10474.36,10429.23,10466.09,322.0,3.076805845808
258,1518951540000,10463.65,10469.64,10455.93,10461.5,3556.0,33.978962459068
259,1518951600000,10466.78,10480.58,10452.22,10463.14,730.0,6.97530732237
260,1518951660000,10463.14,10464.0,10428.26,10431.74,1046.0,10.012327558452
261,1518951720000,10448.0,10450.19,10404.14,10426.1,1478.0,14.175857546831999
262,1518951780000,10425.6,10467.2,10425.51,10446.01,2258.0,21.63036259273
263,1518951840000,10455.12,10476.72,10455.12,10472.97,256.0,2.445781817002
264,1518951900000,10476.72,10480.59,10467.07,10472.21,906.0,8.652602464159
265,1518951960000,10467.66,10467.66,10443.17,10458.6,4214.0,40.321510866402996
266,1518952020000,10448.74,10459.63,10446.79,10459.63,142.0,1.358734103724
267,1518952080000,10444.97,10457.12,10439.24,10440.88,204.0,1.953390534457
268,1518952140000,10455.03,10455.53,10442.81,10442.81,862.0,8.253175586605
269,1518952200000,10455.53,10456.38,10455.53,10456.38,24.0,0.22952805069
270,1518952260000,10454.88,10465.1,10449.88,10465.1,774.0,7.4018440542190005
